timestamp,v_bat,v_pv,i_in
2026-07-12T12:35:52.375+00:00,3.703,3.254,0.027
2026-07-12T13:04:55.486+00:00,3.621,3.165,0.054
2026-07-12T13:33:59.508+00:00,3.559,6.446,0.051
2026-07-12T14:03:04.128+00:00,3.493,5.864,0.049
2026-07-12T14:32:10.705+00:00,3.791,6.429,0.046
2026-07-12T15:01:15.090+00:00,4.002,6.282,0.052
2026-07-12T18:29:19.451+00:00,3.819,3.365,0.027
2026-07-12T18:58:24.086+00:00,3.761,3.307,0.051
2026-07-12T19:27:31.717+00:00,3.693,3.236,0.047
2026-07-13T18:54:06.724+00:00,3.795,6.576,0.044
2026-07-13T19:23:11.872+00:00,3.843,6.363,0.044
2026-07-13T19:52:15.999+00:00,3.774,6.756,0.042
2026-07-13T20:21:20.412+00:00,3.731,5.757,0.045
2026-07-13T20:50:24.538+00:00,3.705,3.397,0.048
2026-07-15T14:39:51.608+00:00,3.872,3.427,0.025
2026-07-15T15:08:56.154+00:00,3.99,5.775,0.044
2026-07-15T15:38:01.625+00:00,4.011,5.777,0.045
2026-07-15T16:07:05.941+00:00,4.09,5.767,0.046
2026-07-15T16:36:09.461+00:00,4.18,6.334,0.046
2026-07-15T17:05:14.829+00:00,4.213,5.772,0.045
2026-07-15T17:34:17.730+00:00,4.239,6.785,0.046
2026-07-15T18:03:22.127+00:00,4.231,5.821,0.046
2026-07-15T18:32:26.494+00:00,4.238,6.752,0.046
2026-07-16T13:17:50.965+00:00,3.574,3.118,0.026
2026-07-16T13:46:55.073+00:00,3.521,3.078,0.049
2026-07-16T18:31:16.936+00:00,3.573,3.116,0.025
2026-07-16T18:34:20.454+00:00,3.502,3.049,0.023
2026-07-16T19:03:29.401+00:00,3.493,3.047,0.05
2026-07-16T19:21:32.811+00:00,4.018,3.566,0.028
2026-07-16T19:50:36.388+00:00,4.083,5.869,0.048
